t,solar,wind
993,0.585,0.959
994,0.456,0.97
995,0.344,0.976
996,0.276,0.972
997,0.158,0.936
998,0.13,0.852
999,0.007,0.811
1000,0,0.82
1001,0,0.854
1002,0,0.865
1003,0,0.867
1004,0,0.863
1005,0,0.847
1006,0,0.836
1007,0,0.853
1008,0,0.879
1009,0,0.874
1010,0,0.839
1011,0,0.781
1012,0.197,0.698
1013,0.822,0.387
1014,0.887,0.094
1015,0.9,0.021
1016,0.9,0.005
1017,0.891,0
1018,0.869,0
1019,0.837,0.006
1020,0.781,0.003
1021,0.68,0.005
1022,0.44,0.051
1023,0.008,0.207
1024,0,0.329
1025,0,0.42
1026,0,0.486
1027,0,0.548
1028,0,0.538
1029,0,0.542
1030,0,0.503
1031,0,0.481
1032,0,0.518
1033,0,0.496
1034,0,0.478
1035,0,0.506
1036,0.174,0.501
1037,0.757,0.313
1038,0.852,0.218
1039,0.871,0.336
1040,0.869,0.429
1041,0.853,0.557
1042,0.808,0.593
1043,0.714,0.574
1044,0.643,0.503
1045,0.474,0.377
1046,0.159,0.207
1047,0,0.131
1048,0,0.212
1049,0,0.279
1050,0,0.208
1051,0,0.138
1052,0,0.116
1053,0,0.239
1054,0,0.418
1055,0,0.565
1056,0,0.628
1057,0,0.692
1058,0,0.749
1059,0,0.778
1060,0.018,0.8
1061,0.17,0.732
1062,0.399,0.503
1063,0.713,0.757
1064,0.802,0.815
1065,0.784,0.657
1066,0.745,0.518
1067,0.731,0.426
1068,0.66,0.263
1069,0.358,0.11
1070,0.075,0.086
1071,0,0.097
1072,0,0.194
1073,0,0.266
1074,0,0.214
1075,0,0.231
1076,0,0.381
1077,0,0.603
1078,0,0.725
1079,0,0.766
1080,0,0.73
1081,0,0.708
1082,0,0.723
1083,0,0.719
1084,0.033,0.725
1085,0.395,0.612
1086,0.64,0.836
1087,0.623,0.942
1088,0.766,0.949
1089,0.78,0.957
1090,0.765,0.949
1091,0.733,0.928
1092,0.67,0.924
1093,0.567,0.915
1094,0.326,0.842
1095,0.008,0.774
1096,0,0.749
1097,0,0.68
1098,0,0.577
1099,0,0.534
1100,0,0.507
1101,0,0.478
1102,0,0.464
1103,0,0.508
1104,0,0.567
1105,0,0.579
1106,0,0.557
1107,0,0.536
1108,0.171,0.519
1109,0.603,0.33
1110,0.768,0.263
1111,0.803,0.572
1112,0.817,0.671
1113,0.813,0.749
1114,0.797,0.839
1115,0.775,0.906
1116,0.735,0.928
1117,0.644,0.917
1118,0.433,0.805
1119,0.021,0.75
1120,0,0.81
1121,0,0.874
1122,0,0.896
1123,0,0.89
1124,0,0.874
1125,0,0.853
1126,0,0.817
1127,0,0.773
1128,0,0.719
1129,0,0.644
1130,0,0.595
1131,0,0.542
1132,0.225,0.454
1133,0.76,0.233
1134,0.838,0.129
1135,0.863,0.084
1136,0.865,0.119
1137,0.853,0.177
1138,0.827,0.232
1139,0.779,0.322
1140,0.686,0.389
1141,0.51,0.297
1142,0.297,0.087
1143,0,0.048
1144,0,0.108
1145,0,0.121
1146,0,0.1
1147,0,0.108
1148,0,0.123
1149,0,0.132
1150,0,0.134
1151,0,0.13
